iter	Passed	Remaining
846	41523	7500
847	41569	7451
848	41626	7403
849	41669	7353
850	41724	7305
851	41773	7256
852	41831	7208
853	41870	7158
854	41910	7107
855	41960	7058
856	42019	7011
857	42086	6965
858	42141	6917
859	42210	6871
860	42285	6826
861	42333	6777
862	42390	6729
863	42462	6683
864	42514	6635
865	42574	6587
866	42635	6540
867	42703	6494
868	42769	6447
869	42822	6398
870	42874	6349
871	42921	6300
872	42971	6251
873	43017	6201
874	43065	6152
875	43111	6102
876	43155	6052
877	43218	6005
878	43256	5954
879	43300	5904
880	43343	5854
881	43387	5804
882	43425	5754
883	43472	5704
884	43513	5654
885	43557	5604
886	43598	5554
887	43642	5504
888	43687	5454
889	43736	5405
890	43784	5356
891	43842	5308
892	43892	5259
893	43938	5209
894	43986	5160
895	44035	5111
896	44091	5062
897	44146	5014
898	44204	4966
899	44241	4915
900	44293	4866
901	44336	4817
902	44381	4767
903	44430	4718
904	44472	4668
905	44547	4621
906	44597	4572
907	44670	4526
908	44753	4480
909	44828	4433
910	44872	4383
911	44923	4334
912	44970	4285
913	45009	4234
914	45052	4185
915	45101	4135
916	45140	4085
917	45185	4036
918	45224	3986
919	45264	3936
920	45312	3886
921	45363	3837
922	45400	3787
923	45438	3737
924	45485	3687
925	45532	3638
926	45568	3588
927	45605	3538
928	45646	3488
929	45685	3438
930	45729	3389
931	45770	3339
932	45826	3290
933	45883	3242
934	45927	3192
935	45976	3143
936	46014	3093
937	46055	3044
938	46098	2994
939	46138	2944
940	46182	2895
941	46222	2845
942	46258	2796
943	46300	2746
944	46340	2697
945	46386	2647
946	46454	2599
947	46520	2551
948	46576	2503
949	46663	2455
950	46765	2409
951	46834	2361
952	46908	2313
953	46965	2264
954	47046	2216
955	47113	2168
956	47183	2120
957	47241	2071
958	47297	2022
959	47347	1972
960	47402	1923
961	47452	1874
962	47501	1825
963	47546	1775
964	47591	1726
965	47625	1676
966	47665	1626
967	47708	1577
968	47752	1527
969	47797	1478
970	47839	1428
971	47908	1380
972	47957	1330
973	48001	1281
974	48039	1231
975	48080	1182
976	48124	1132
977	48161	1083
978	48209	1034
979	48246	984
980	48282	935
981	48319	885
982	48365	836
983	48408	787
984	48446	737
985	48488	688
986	48534	639
987	48582	590
988	48633	540
989	48689	491
990	48741	442
991	48803	393
992	48857	344
993	48903	295
994	48942	245
995	48985	196
996	49027	147
997	49070	98
998	49109	49
999	49151	0
